Record_ID,Age,CGPA,Attendance_Percent,Coding_Score,Communication_Score,Projects_Count,Certifications_Count,Technical_Skills,Aptitude_Score,Previous_Internship,Internship_Selected
1001,21,7.98,74.2,56.5,84.4,5.0,0.0,Intermediate,93.2,No,1
1002,18,8.73,71.1,57.2,76.5,4.0,1.0,Intermediate,57.7,No,1
1003,19,7.45,76.7,73.9,46.7,2.0,2.0,,62.0,No,0
1004,19,8.1,80.6,89.2,85.2,1.0,4.0,Intermediate,73.7,No,1
1005,19,8.02,79.5,69.5,62.6,4.0,1.0,Intermediate,49.7,No,1
1006,21,8.04,66.7,72.7,65.1,1.0,1.0,Beginner,70.7,No,0
1007,22,5.69,74.7,62.8,66.9,6.0,3.0,Intermediate,76.8,No,0
1008,19,6.49,86.3,88.3,100.0,2.0,3.0,Intermediate,64.1,Yes,1
1009,21,7.71,94.8,71.9,82.5,3.0,2.0,Intermediate,77.7,No,1
1010,22,7.77,84.0,63.7,96.4,,2.0,Intermediate,40.1,No,1
1011,20,7.43,72.7,100.0,75.0,4.0,1.0,Beginner,57.6,No,0
1012,19,4.71,98.4,55.7,70.0,5.0,0.0,Advanced,61.4,No,0
1013,22,6.24,88.0,78.2,84.9,3.0,2.0,Intermediate,62.9,No,1
1014,19,5.17,75.6,55.4,73.8,2.0,0.0,Intermediate,64.4,No,0
1015,21,9.04,63.6,68.1,68.0,2.0,2.0,Intermediate,88.4,No,1
1016,21,5.6,56.7,54.4,58.4,2.0,2.0,Beginner,68.3,Yes,0
1017,22,7.37,96.4,86.5,83.5,3.0,1.0,Intermediate,60.5,No,0
1018,19,8.1,88.9,64.3,87.2,3.0,0.0,Intermediate,62.3,Yes,1
1019,21,6.3,74.9,71.5,67.2,3.0,3.0,Advanced,85.6,No,1
1020,20,5.88,82.3,88.7,30.0,1.0,2.0,Intermediate,68.5,No,0
1021,19,7.07,66.3,89.6,77.7,2.0,2.0,Intermediate,68.1,Yes,1
1022,19,4.91,90.7,75.2,55.0,2.0,2.0,Intermediate,46.5,Yes,0
1023,20,7.1,68.3,52.3,58.8,3.0,0.0,Beginner,,No,1
1024,21,6.51,67.5,38.3,61.3,2.0,0.0,Beginner,85.3,No,0
1025,19,7.62,92.2,64.4,74.9,,4.0,Advanced,67.0,No,0
1026,18,5.08,69.2,55.7,86.7,1.0,1.0,Advanced,58.6,Yes,0
1027,20,7.88,77.5,77.2,55.3,1.0,1.0,Intermediate,82.9,Yes,1
1028,21,8.24,90.7,44.4,100.0,1.0,0.0,Advanced,51.0,No,0
1029,22,6.29,80.5,78.9,83.0,1.0,0.0,Intermediate,69.2,Yes,0
1030,21,7.6,91.4,36.6,79.0,0.0,0.0,Intermediate,55.0,Yes,0
1031,22,7.15,66.4,67.4,59.3,1.0,3.0,Intermediate,59.4,No,1
1032,22,8.87,77.4,88.8,80.4,2.0,0.0,Beginner,65.8,No,1
1033,19,8.0,87.2,67.2,69.9,3.0,1.0,Advanced,85.9,No,1
1034,22,7.13,81.8,67.2,100.0,6.0,2.0,Advanced,69.7,Yes,1
1035,21,5.4,79.4,92.6,94.6,2.0,1.0,Intermediate,66.1,Yes,1
1036,19,5.79,74.3,36.5,74.1,2.0,3.0,Advanced,90.3,No,0
1037,21,6.71,75.4,69.6,80.4,3.0,2.0,Intermediate,55.6,No,0
1038,22,6.32,73.2,94.0,48.9,4.0,4.0,Intermediate,70.2,No,0
1039,19,6.51,85.4,54.1,85.0,2.0,0.0,Intermediate,43.6,Yes,0
1040,20,8.4,65.7,72.6,69.7,1.0,4.0,Beginner,63.5,No,0
1041,18,7.4,77.5,76.7,64.3,4.0,2.0,Advanced,73.0,No,0
1042,21,8.27,82.7,74.2,73.7,2.0,2.0,Intermediate,64.7,No,1
1043,19,7.22,75.8,74.5,80.6,4.0,3.0,Intermediate,63.3,No,0
1044,21,7.07,85.8,93.1,82.5,0.0,,Advanced,74.0,No,1
1045,19,6.48,71.0,43.9,53.3,3.0,3.0,Intermediate,87.2,Yes,1
1046,20,5.95,88.1,81.8,49.7,3.0,1.0,Advanced,60.1,No,0
1047,18,7.36,93.1,90.6,66.1,0.0,2.0,Advanced,55.6,Yes,1
1048,18,,71.4,88.5,72.8,5.0,0.0,Advanced,75.1,No,1
1049,20,7.13,71.1,67.1,47.5,3.0,1.0,Intermediate,75.5,No,1
1050,20,7.99,61.1,68.8,76.1,2.0,3.0,Intermediate,54.7,NO,1
1051,19,6.17,81.1,58.1,75.2,5.0,1.0,Intermediate,76.0,No,0
1052,19,6.86,100.0,76.2,50.0,1.0,3.0,Intermediate,73.8,,0
1053,18,7.18,74.5,68.4,83.2,1.0,1.0,Intermediate,68.0,No,0
1054,20,7.44,77.5,62.9,54.4,2.0,3.0,Intermediate,52.0,No,0
1055,20,7.16,58.2,55.5,40.6,2.0,0.0,Beginner,59.3,No,0
1056,20,7.18,70.1,65.1,50.2,0.0,3.0,Intermediate,63.0,No,0
1057,22,6.97,87.9,100.0,51.0,2.0,1.0,Beginner,58.9,Yes,0
1058,21,7.73,90.2,54.4,71.4,2.0,2.0,Intermediate,52.3,no,0
1059,19,7.63,88.1,46.3,91.2,4.0,3.0,,79.7,No,0
1060,21,6.79,91.7,67.5,80.2,1.0,1.0,Intermediate,73.9,No,1
1061,20,6.33,75.5,49.4,87.7,0.0,4.0,,82.8,No,0
1062,21,6.4,73.3,31.3,80.9,2.0,2.0,Beginner,62.9,No,0
1063,20,8.99,99.0,,53.5,3.0,1.0,Intermediate,76.5,Yes,1
1064,20,7.55,69.6,53.0,59.3,4.0,3.0,Beginner,58.8,Yes,0
1065,20,8.17,77.1,65.7,69.8,3.0,2.0,Advanced,65.2,No,1
1066,18,8.07,77.0,64.5,73.7,,0.0,Advanced,67.7,Yes,1
1067,20,7.3,73.8,77.4,60.3,2.0,0.0,Advanced,53.3,No,0
1068,21,7.56,75.6,44.7,54.4,3.0,1.0,Intermediate,88.8,no,0
1069,23,7.64,75.7,61.3,44.6,6.0,1.0,Intermediate,75.2,No,1
1070,20,5.62,81.2,59.2,72.6,1.0,0.0,Intermediate,25.0,No,0
1071,20,7.65,76.3,60.5,76.3,2.0,2.0,Intermediate,57.4,No,0
1072,20,6.49,90.0,90.7,93.2,1.0,2.0,Advanced,72.7,No,1
1073,20,6.43,75.0,92.5,58.5,2.0,4.0,Intermediate,52.5,No,0
1074,20,7.5,76.4,69.4,66.1,1.0,2.0,Advanced,72.0,No,0
1075,18,10.0,80.8,73.5,55.1,,1.0,Intermediate,72.2,No,1
1076,20,5.43,61.2,77.7,64.9,0.0,1.0,Advanced,86.0,No,0
1077,21,5.06,70.5,79.5,80.0,2.0,2.0,Beginner,69.4,No,0
1078,21,7.31,85.7,81.3,72.6,3.0,4.0,Intermediate,63.5,No,1
1079,20,5.1,81.9,49.3,75.0,2.0,3.0,Intermediate,67.4,No,0
1080,20,7.05,79.0,76.0,70.0,2.0,4.0,Intermediate,37.9,No,0
1081,18,,82.6,82.2,61.8,3.0,,Intermediate,63.5,Yes,0
1082,21,7.67,65.7,43.1,79.6,4.0,1.0,Intermediate,100.0,No,1
1083,18,7.14,80.3,65.9,56.0,3.0,0.0,Advanced,72.3,Yes,1
1084,20,6.23,71.1,38.1,79.5,2.0,1.0,Intermediate,74.9,No,0
1085,20,8.48,82.5,35.0,62.5,1.0,1.0,Intermediate,47.2,No,1
1086,22,7.4,96.2,,70.9,1.0,4.0,Beginner,69.6,Yes,1
1087,23,7.86,64.4,81.3,54.5,5.0,2.0,Intermediate,56.1,No,0
1088,20,,95.4,86.7,46.2,6.0,0.0,Advanced,50.4,Yes,1
1089,22,7.59,71.3,70.2,78.2,2.0,2.0,Intermediate,56.9,No,1
1090,20,6.0,83.8,48.9,96.1,2.0,0.0,Beginner,68.9,Yes,0
1091,21,9.69,67.4,81.8,99.2,3.0,2.0,Intermediate,83.4,No,1
1092,21,8.17,74.5,57.7,100.0,3.0,1.0,Beginner,81.1,Yes,0
1093,21,7.39,65.5,66.6,76.0,3.0,2.0,Beginner,57.8,No,0
1094,19,8.35,92.0,65.1,76.5,0.0,2.0,Beginner,42.5,Yes,1
1095,19,7.37,,87.2,55.1,2.0,0.0,Beginner,25.0,Yes,0
1096,20,7.01,72.0,91.1,76.1,3.0,2.0,Beginner,76.9,No,1
1097,19,7.36,74.4,76.2,75.2,2.0,1.0,Intermediate,51.8,Yes,1
1098,22,5.31,91.5,82.6,60.1,3.0,1.0,Intermediate,77.9,Yes,0
1099,19,6.74,69.3,67.1,95.0,3.0,1.0,Advanced,79.0,No,0
1100,18,7.44,63.8,50.4,74.4,2.0,1.0,Intermediate,73.9,No,0
1101,20,6.43,85.8,65.9,63.9,2.0,1.0,Advanced,89.4,No,1
1102,20,9.4,78.3,85.9,46.6,0.0,1.0,Intermediate,58.5,Yes,1
1103,22,6.82,92.4,65.0,100.0,1.0,2.0,Intermediate,67.0,No,0
1104,19,7.46,78.1,60.0,78.5,0.0,0.0,Intermediate,66.0,Yes,0
1105,20,9.29,59.0,62.6,76.1,3.0,0.0,Advanced,80.5,No,0
1106,21,8.03,99.7,52.1,61.0,1.0,1.0,Intermediate,62.8,No,0
1107,22,9.46,74.1,81.1,73.9,,1.0,Advanced,51.8,No,1
1108,19,7.37,85.0,92.3,72.0,4.0,0.0,Intermediate,81.3,No,0
1109,21,5.61,78.7,54.9,72.1,1.0,2.0,Advanced,80.2,Yes,0
1110,19,4.59,64.1,76.7,50.3,2.0,1.0,Intermediate,34.1,No,0
1111,21,5.89,58.1,45.0,66.2,2.0,3.0,Advanced,65.3,Yes,0
1112,19,7.43,91.5,83.2,72.8,2.0,1.0,Beginner,67.9,Yes,1
1113,19,8.18,84.5,65.4,68.8,1.0,4.0,Intermediate,42.2,No,0
1114,19,8.25,98.5,54.4,57.8,1.0,1.0,Advanced,70.5,No,0
1115,20,5.8,80.0,58.6,48.2,2.0,2.0,Beginner,65.2,Yes,0
1116,20,6.49,80.1,62.7,86.2,2.0,3.0,Beginner,65.8,No,0
1117,21,7.67,73.7,72.8,88.5,4.0,4.0,Beginner,34.2,No,0
1118,20,4.87,60.4,51.3,76.9,0.0,3.0,Beginner,72.5,No,0
1119,21,6.24,86.1,59.9,69.0,2.0,5.0,Beginner,46.9,No,0
1120,19,7.43,75.6,49.2,63.3,2.0,6.0,Advanced,65.3,No,0
1121,23,7.37,78.4,81.4,54.5,0.0,3.0,Advanced,61.3,No,0
1122,20,8.17,,72.6,58.4,1.0,4.0,Intermediate,67.1,No,1
1123,21,7.29,92.3,76.7,73.1,1.0,3.0,Intermediate,80.5,Yes,1
1124,21,6.85,76.3,60.6,71.3,2.0,0.0,Advanced,74.4,No,0
1125,19,6.23,70.7,96.2,66.3,1.0,1.0,Beginner,81.6,Yes,0
1126,19,7.51,78.0,56.6,59.0,3.0,1.0,Beginner,82.3,No,0
1127,20,6.88,98.9,53.2,54.6,1.0,0.0,Intermediate,33.4,Yes,0
1128,20,7.99,81.4,78.9,71.6,0.0,4.0,Intermediate,61.5,No,0
1129,19,5.75,79.4,48.3,54.4,2.0,0.0,Advanced,88.7,No,0
1130,19,9.07,74.7,85.0,86.4,1.0,5.0,Advanced,73.9,No,1
1131,20,6.44,74.7,73.5,77.6,2.0,1.0,Intermediate,64.0,No,1
1132,21,6.76,66.4,73.8,98.8,2.0,1.0,Beginner,58.7,No,0
1133,19,7.94,72.0,84.9,76.1,3.0,2.0,Advanced,33.7,No,1
1134,19,7.87,79.8,87.3,79.0,3.0,0.0,Intermediate,80.2,Yes,1
1135,23,7.76,64.5,71.6,73.7,1.0,1.0,Intermediate,57.5,Yes,0
1136,21,6.55,75.9,72.9,73.3,1.0,2.0,Intermediate,70.4,Yes,0
1137,18,4.92,64.9,58.0,79.5,1.0,5.0,Intermediate,63.8,No,1
1138,23,7.0,68.4,32.7,68.1,1.0,1.0,Intermediate,47.1,No,1
1139,18,7.93,73.1,61.3,96.5,0.0,0.0,BEGINNER,49.2,No,0
1140,19,7.65,77.9,40.7,77.6,1.0,0.0,Beginner,70.8,No,0
1141,22,8.19,76.8,64.3,73.9,2.0,2.0,Advanced,94.2,No,1
1142,19,6.8,93.1,89.1,38.3,2.0,3.0,Beginner,30.0,No,0
1143,22,6.36,91.8,65.2,50.2,2.0,3.0,Beginner,59.9,No,0
1144,19,5.92,75.6,76.4,69.0,2.0,1.0,Intermediate,38.9,No,0
